1,2,3
LIMEIRA,SP,4
MOGI DAS CRUZES,SP,4
SANTA BARBARA D'OESTE,SP,4
SAO CARLOS,SP,4
TAUBATE,SP,4
SOBRADINHO,DF,3
LINHARES,ES,3
ANAPOLIS,GO,3
BETIM,MG,3
IPATINGA,MG,3
MONTES CLAROS,MG,3
VARGINHA,MG,3
RONDONOPOLIS,MT,3
TUCURUI,PA,3
CARUARU,PE,3
GUARAPUAVA,PR,3
ANGRA DOS REIS,RJ,3
NILOPOLIS,RJ,3
NOVA FRIBURGO,RJ,3
PORTO VELHO,RO,3
BOA VISTA,RR,3
BENTO GONCALVES,RS,3
BALNEARIO DE CAMBORIU,SC,3
BRUSQUE,SC,3
ITAPEMA,SC,3
JARAGUA DO SUL,SC,3
LAGES,SC,3
ASSIS,SP,3
COSMOPOLIS,SP,3
FRANCA,SP,3
CACOAL,RO,1
VILHENA,RO,1
ALEGRETE,RS,1
ARROIO DO SAL,RS,1
BAGE,RS,1
CAMAQUA,RS,1
CANELA,RS,1
CARAZINHO,RS,1
CARLOS BARBOSA,RS,1
ERECHIM,RS,1
FARROUPILHA,RS,1
GRAMADO,RS,1
GRAVATAI,RS,1
IJUI,RS,1
MONTENEGRO,RS,1
OSORIO,RS,1
SANTA ROSA,RS,1
SANTO ANGELO,RS,1
SAPIRANGA,RS,1
TAQUARA,RS,1
TRES COROAS,RS,1
TRES PASSOS,RS,1
URUGUAIANA,RS,1
VIAMAO,RS,1
ARARANGUA,SC,1
CONCORDIA,SC,1
CURITIBANOS,SC,1
JOACABA,SC,1
MAFRA,SC,1
PORTO BELO,SC,1
SAO FRANCISCO DO SUL,SC,1
TIMBO,SC,1
ADAMANTINA,SP,1
ALTINOPOLIS,SP,1
APARECIDA,SP,1
ARUJA,SP,1
ATIBAIA,SP,1
AVARE,SP,1
BARIRI,SP,1
BARRA BONITA,SP,1
BEBEDOURO,SP,1
BERTIOGA,SP,1
BIRIGUI,SP,1
BOCAINA,SP,1
BOTUCATU,SP,1
BRAGANCA PAULISTA,SP,1
CACAPAVA,SP,1
CAMPOS DO JORDAO,SP,1
CAPIVARI,SP,1
CARAGUATATUBA,SP,1
CASA BRANCA,SP,1
CRUZEIRO,SP,1
DESCALVADO,SP,1
DOIS CORREGOS,SP,1
DRACENA,SP,1
ESPIRITO SANTO DO PINHAL,SP,1
FRANCO DA ROCHA,SP,1
GARCA,SP,1
GUAIRA,SP,1
GUARIBA,SP,1
IBIUNA,SP,1
IGARAPAVA,SP,1
ITU,SP,3
IGUAPE,SP,1
JAU,SP,3
ILHA SOLTEIRA,SP,1
MOGI-MIRIM,SP,3
ITAPEVA,SP,1
RIO BRANCO,AC,2
ITUVERAVA,SP,1
CAMACARI,BA,2
JAGUARIUNA,SP,1
ILHEUS,BA,2
JALES,SP,1
ITABUNA,BA,2
LEME,SP,1
SANTO ANTONIO DE JESUS,BA,2
MATAO,SP,1
TEIXEIRA DE FREITAS,BA,2
MIGUELOPOLIS,SP,1
JUAZEIRO DO NORTE,CE,2
MIRASSOL,SP,1
MARACANAU,CE,2
MOCOCA,SP,1
SOBRAL,CE,2
MOGI-GUACU,SP,1
GAMA,DF,2
MONTE ALTO,SP,1
CACHOEIRO DE ITAPEMIRIM,ES,2
OLIMPIA,SP,1
CALDAS NOVAS,GO,2
ORLANDIA,SP,1
MORRINHOS,GO,2
OSVALDO CRUZ,SP,1
VALPARAISO,GO,2
PEDERNEIRAS,SP,1
BARBACENA,MG,2
PEDREIRA,SP,1
GOVERNADOR VALADARES,MG,2
PENAPOLIS,SP,1
ITABIRA,MG,2
PIRAJU,SP,1
LAGOA SANTA,MG,2
PIRAJUI,SP,1
LAVRAS,MG,2
PIRASSUNUNGA,SP,1
PATOS DE MINAS,MG,2
PORTO FELIZ,SP,1
POUSO ALEGRE,MG,2
PORTO FERREIRA,SP,1
SETE LAGOAS,MG,2
PRESIDENTE VENCESLAU,SP,1
TRES CORACOES,MG,2
REGISTRO,SP,1
SINOP,MT,2
RIBEIRAO PIRES,SP,1
TANGARA DA SERRA,MT,2
SANTA CRUZ DAS PALMEIRAS,SP,1
REDENCAO,PA,2
SANTA CRUZ DO RIO PARDO,SP,1
PATOS,PB,2
SANTA FE DO SUL,SP,1
GARANHUNS,PE,2
SAO JOAO DA BOA VISTA,SP,1
PETROLINA,PE,2
SAO JOSE DO RIO PARDO,SP,1
PARNAIBA,PI,2
SAO MANUEL,SP,1
APUCARANA,PR,2
SAO PEDRO,SP,1
CAMPO MOURAO,PR,2
SAO VICENTE,SP,1
MEDIANEIRA,PR,2
SERRA NEGRA,SP,1
PARANAGUA,PR,2
SOCORRO,SP,1
ARARUAMA,RJ,2
TAQUARITINGA,SP,1
ARRAIAL DO CABO,RJ,2
TIETE,SP,1
BARRA MANSA,RJ,2
TUPA,SP,1
BELFORD ROXO,RJ,2
VARGEM GRANDE DO SUL,SP,1
CABO FRIO,RJ,2
VOTUPORANGA,SP,1
MACAE,RJ,2
GURUPI,TO,1
TERESOPOLIS,RJ,2
JI-PARANA,RO,2
CACHOEIRA DO SUL,RS,2
CACHOEIRINHA,RS,2
CRUZ ALTA,RS,2
LAJEADO,RS,2
NOVA PETROPOLIS,RS,2
RIO GRANDE,RS,2
SANTANA DO LIVRAMENTO,RS,2
TORRES,RS,2
TRAMANDAI,RS,2
CHAPECO,SC,2
ITAJAI,SC,2
NAVEGANTES,SC,2
SAO BENTO DO SUL,SC,2
AMERICANA,SP,2
AMPARO,SP,2
ANDRADINA,SP,2
ARACATUBA,SP,2
ARARAS,SP,2
BARRETOS,SP,2
BOITUVA,SP,2
CATANDUVA,SP,2
EMBU,SP,2
FERNANDOPOLIS,SP,2
ITANHAEM,SP,2
ITAPETININGA,SP,2
ITAPEVI,SP,2
ITAPIRA,SP,2
ITATIBA,SP,2
JABOTICABAL,SP,2
LENCOIS PAULISTA,SP,2
LINS,SP,2
LORENA,SP,2
MONGAGUA,SP,2
OURINHOS,SP,2
PERUIBE,SP,2
PINDAMONHANGABA,SP,2
SALTO,SP,2
SAO CAETANO DO SUL,SP,2
SAO ROQUE,SP,2
SAO SEBASTIAO,SP,2
SERTAOZINHO,SP,2
SUMARE,SP,2
TATUI,SP,2
UBATUBA,SP,2
VALINHOS,SP,2
ARAGUAINA,TO,2
PALMAS DO TOCANTINS,TO,2
CRUZEIRO DO SUL,AC,1
SANTANA,AP,1
ALAGOINHAS,BA,1
BARREIRAS,BA,1
BRUMADO,BA,1
IPIRA,BA,1
ITAMARAJU,BA,1
LAURO DE FREITAS,BA,1
ITAPIPOCA,CE,1
ALEGRE,ES,1
ANCHIETA,ES,1
ARACRUZ,ES,1
CASTELO,ES,1
COLATINA,ES,1
SAO MATEUS,ES,1
CATALAO,GO,1
CERES,GO,1
FORMOSA,GO,1
GOIANESIA,GO,1
GOIATUBA,GO,1
ITABERAI,GO,1
ITAPURANGA,GO,1
JATAI,GO,1
PIRENOPOLIS,GO,1
RIO VERDE,GO,1
IMPERATRIZ,MA,1
ALFENAS,MG,1
ANDRADAS,MG,1
ARAGUARI,MG,1
ARAXA,MG,1
ARCOS,MG,1
BICAS,MG,1
CAMBUI,MG,1
CAMPO BELO,MG,1
CARATINGA,MG,1
CARMO DO RIO CLARO,MG,1
CATAGUASES,MG,1
CAXAMBU,MG,1
CONGONHAS,MG,1
CONSELHEIRO LAFAIETE,MG,1
CURVELO,MG,1
FORMIGA,MG,1
GUAXUPE,MG,1
ITAJUBA,MG,1
ITUIUTABA,MG,1
LEOPOLDINA,MG,1
MACHADO,MG,1
MANHUACU,MG,1
MANTENA,MG,1
MURIAE,MG,1
NOVA SERRANA,MG,1
OURO PRETO,MG,1
PARA DE MINAS,MG,1
PARACATU,MG,1
PASSOS,MG,1
PATROCINIO,MG,1
PEDRO LEOPOLDO,MG,1
RIO POMBA,MG,1
SAO JOAO DEL REY,MG,1
SAO LOURENCO,MG,1
SAO SEBASTIAO DO PARAISO,MG,1
TEOFILO OTONI,MG,1
TUPACIGUARA,MG,1
UBA,MG,1
VICOSA,MG,1
NAVIRAI,MS,1
TRES LAGOAS,MS,1
BARRA DO GARCAS,MT,1
CACERES,MT,1
PRIMAVERA DO LESTE,MT,1
SORRISO,MT,1
ALTAMIRA,PA,1
SANTAREM,PA,1
AFOGADOS DA INGAZEIRA,PE,1
ANDIRA,PR,1
ARAPONGAS,PR,1
ASTORGA,PR,1
CIANORTE,PR,1
CORNELIO PROCOPIO,PR,1
FRANCISCO BELTRAO,PR,1
IBIPORA,PR,1
IRATI,PR,1
IVAIPORA,PR,1
JACAREZINHO,PR,1
MARIALVA,PR,1
MORRETES,PR,1
PARANAVAI,PR,1
PATO BRANCO,PR,1
RIO NEGRO,PR,1
RONDON,PR,1
SANTO ANTONIO DA PLATINA,PR,1
TOLEDO,PR,1
UMUARAMA,PR,1
UNIAO DA VITORIA,PR,1
ARMACAO DOS BUZIOS,RJ,1
BOM JESUS DO ITABAPOANA,RJ,1
ITAPERUNA,RJ,1
MIGUEL PEREIRA,RJ,1
TRES RIOS,RJ,1
VALENCA,RJ,1
MOSSORO,RN,1
ARIQUEMES,RO,1
Fonte: Base de dados SDRJ / Exibidores - Pesquisa: Filme B,Fonte: Base de dados SDRJ / Exibidores - Pesquisa: Filme B,Fonte: Base de dados SDRJ / Exibidores - Pesquisa: Filme B
,Topo da página,© Copyright Filme B. Todos os direitos reservados.
