1,2,3
DRACENA,SP,1
VACARIA,RS,1
IVAIPORA,PR,1
CORNELIO PROCOPIO,PR,1
FRANCO DA ROCHA,SP,1
PORTO FERREIRA,SP,1
BOM JESUS DO ITABAPOANA,RJ,1
PARANAVAI,PR,1
SOCORRO,SP,1
SORRISO,MT,1
SAO SEBASTIAO DO PARAISO,MG,1
ITUIUTABA,MG,1
SANTA CRUZ DAS PALMEIRAS,SP,1
NOVA SERRANA,MG,1
VILHENA,RO,1
ITABIRA,MG,1
CAMPOS DO JORDAO,SP,1
MACHADO,MG,1
MURIAE,MG,1
CAPIVARI,SP,1
NAVIRAI,MS,1
MONTE ALTO,SP,1
ARMACAO DOS BUZIOS,RJ,1
IBIUNA,SP,1
ALFENAS,MG,1
ESPIRITO SANTO DO PINHAL,SP,1
CONCORDIA,SC,1
TIETE,SP,1
CARAZINHO,RS,1
SANTAREM,PA,1
ALEGRE,ES,1
RIBEIRAO PIRES,SP,1
TAQUARA,RS,1
JALES,SP,1
ANCHIETA,ES,1
ARAPONGAS,PR,1
CANELA,RS,1
PRESIDENTE VENCESLAU,SP,1
REGISTRO,SP,1
GUARIBA,SP,1
PARACATU,MG,1
VARGEM GRANDE DO SUL,SP,1
ARAGUARI,MG,1
MARIALVA,PR,1
CAMAQUA,RS,1
SANTA ROSA,RS,1
IBITINGA,SP,1
ITAPIPOCA,CE,1
GRAVATAI,RS,1
PEDRO LEOPOLDO,MG,1
MIGUEL PEREIRA,RJ,1
SAO PEDRO,SP,1
URUGUAIANA,RS,1
ALEGRETE,RS,1
TORRES,RS,1
IRATI,PR,1
BANDEIRANTES,PR,1
ITABERAI,GO,1
LUZIANIA,GO,1
SAO MATEUS,ES,1
ALTAMIRA,PA,1
CASTELO,ES,1
PORTO FELIZ,SP,1
BARRA BONITA,SP,1
OSVALDO CRUZ,SP,1
ITUVERAVA,SP,1
PIRAJUI,SP,1
PEDERNEIRAS,SP,1
MANTENA,MG,1
GOIATUBA,GO,1
VIAMAO,RS,1
AFOGADOS DA INGAZEIRA,PE,1
TUPA,SP,1
GURUPI,TO,1
JACAREZINHO,PR,1
BAGE,RS,1
ALTINOPOLIS,SP,1
IBIPORA,PR,1
CARMO DO RIO CLARO,MG,1
CERES,GO,1
LAMBARI,MG,1
IPIRA,BA,1
PIRENOPOLIS,GO,1
GUAIRA,SP,1
BARRA DO GARCAS,MT,1
AMPARO,SP,3
SANTANA DO LIVRAMENTO,RS,1
LAGES,SC,3
ORLANDIA,SP,1
OURINHOS,SP,3
IGARAPAVA,SP,1
ANGRA DOS REIS,RJ,3
CAMPESTRE,MG,1
ITAPEMA,SC,3
DOIS CORREGOS,SP,1
BARBACENA,MG,3
RIO NEGRO,PR,1
MONGAGUA,SP,3
MAFRA,SC,1
JABOTICABAL,SP,3
TRES PASSOS,RS,1
SAO BENTO DO SUL,SC,3
CARLOS BARBOSA,RS,1
TUCURUI,PA,3
MIRASSOL,SP,1
PARANAGUA,PR,3
JEQUIE,BA,1
SOBRADINHO,DF,3
TRES COROAS,RS,1
AMERICANA,SP,2
ARARANGUA,SC,1
ARACATUBA,SP,2
MIGUELOPOLIS,SP,1
PETROLINA,PE,2
AGUAS DE LINDOIA,SP,1
ITABUNA,BA,2
CURVELO,MG,1
JUAZEIRO DO NORTE,CE,2
SANTA CRUZ DO RIO PARDO,SP,1
CABO FRIO,RJ,2
PARA DE MINAS,MG,1
CACHOEIRINHA,RS,2
SANTA RITA DO SAPUCAI,MG,1
CACHOEIRO DE ITAPEMIRIM,ES,2
ITAMARAJU,BA,1
ITAJAI,SC,2
RIO DO SUL,SC,1
TERESOPOLIS,RJ,2
ARROIO DO SAL,RS,1
MARACANAU,CE,2
ADAMANTINA,SP,1
CAMPOS,RJ,2
SAO BORJA,RS,1
BARRA MANSA,RJ,2
FRANCISCO MORATO,SP,1
MACAE,RJ,2
SAO FRANCISCO DO SUL,SC,1
TATUI,SP,2
MORRINHOS,GO,1
UBATUBA,SP,2
BOMBINHAS,SC,1
ITAPETININGA,SP,2
PARACAMBI,RJ,1
DIVINOPOLIS,MG,2
APARECIDA,SP,1
ITAPEVI,SP,2
FRUTAL,MG,1
ILHEUS,BA,2
FARROUPILHA,RS,1
SAO ROQUE,SP,2
OURO FINO,MG,1
PATOS DE MINAS,MG,2
CHOPINZINHO,PR,1
PERUIBE,SP,2
ITAPOLIS,SP,1
ARARUAMA,RJ,2
POMPEIA,SP,1
LORENA,SP,2
EUNAPOLIS,BA,1
TRES CORACOES,MG,2
SERTAOZINHO,SP,1
CHAPECO,SC,2
IGUATU,PR,1
ITANHAEM,SP,2
GUARARAPES,SP,1
LAVRAS,MG,2
GUARABIRA,PB,1
SUMARE,SP,2
MANHUACU,MG,1
SAO SEBASTIAO,SP,2
ASTORGA,PR,1
RIO BRANCO,AC,2
PATO BRANCO,PR,1
LAJEADO,RS,2
BOCAINA,SP,1
TEIXEIRA DE FREITAS,BA,2
TIMBO,SC,1
VALPARAISO,GO,2
BARREIRAS,BA,1
BARRETOS,SP,2
MEDIANEIRA,PR,1
VITORIA DA CONQUISTA,BA,2
PORTO BELO,SC,1
ITATIBA,SP,2
SOUSA,PB,1
ARARAS,SP,2
SANTO ANTONIO DA PLATINA,PR,1
CATANDUVA,SP,2
SAPIRANGA,RS,1
POUSO ALEGRE,MG,2
RAPOSOS,MG,1
SOBRAL,CE,2
ANDIRA,PR,1
SANTO ANTONIO DE JESUS,BA,2
MAMANGUAPE,PB,1
RIO GRANDE,RS,2
POMERODE,SC,1
GAMA,DF,2
GUAPORE,RS,1
JI-PARANA,RO,2
GARCA,SP,1
TANGARA DA SERRA,MT,2
MORRETES,PR,1
CAMPO MOURAO,PR,2
CORONEL VIVIDA,PR,1
LINS,SP,2
CONGONHAS,MG,1
SAO CAETANO DO SUL,SP,2
CAPITAO LEONIDAS MARQUES,PR,1
LENCOIS PAULISTA,SP,2
GUARATUBA,PR,1
FERNANDOPOLIS,SP,2
IGUATU,CE,1
BELFORD ROXO,RJ,2
RIBEIRAO DO PINHAL,PR,1
ITAPIRA,SP,2
NAZARE,BA,1
SINOP,MT,2
LOANDA,PR,1
CAMACARI,BA,2
VALENCA,BA,1
ARAGUAINA,TO,2
ARCOVERDE,PE,1
CATALAO,GO,2
CURITIBANOS,SC,1
UBA,MG,2
ILHA SOLTEIRA,SP,1
PATOS,PB,2
RIO POMBA,MG,1
ARRAIAL DO CABO,RJ,2
FRANCISCO BELTRAO,PR,2
CRUZ ALTA,RS,2
BATATAIS,SP,2
SALTO,SP,2
LAGOA SANTA,MG,2
TRAMANDAI,RS,2
MOSSORO,RN,2
SAO VICENTE,SP,2
FORMOSA,GO,2
VALINHOS,SP,2
PIRASSUNUNGA,SP,2
NOVA PETROPOLIS,RS,2
PALOTINA,PR,2
GARANHUNS,PE,2
REDENCAO,PA,2
TUPACIGUARA,MG,2
NAVEGANTES,SC,2
EMBU,SP,2
GUAIRA,PR,2
MIMOSO DO SUL,ES,2
BOTUCATU,SP,1
SAO JOAO DA BOA VISTA,SP,1
BRAGANCA PAULISTA,SP,1
ATIBAIA,SP,1
COLATINA,ES,1
SAO JOAO DEL REY,MG,1
ERECHIM,RS,1
MOCOCA,SP,1
RIO VERDE,GO,1
CARAGUATATUBA,SP,1
SAO LOURENCO,MG,1
PRIMAVERA DO LESTE,MT,1
LEME,SP,1
CRUZEIRO,SP,1
BOITUVA,SP,1
MATAO,SP,1
BEBEDOURO,SP,1
OURO PRETO,MG,1
ALAGOINHAS,BA,1
PEDREIRA,SP,1
PATROCINIO,MG,1
ARUJA,SP,1
TOLEDO,PR,1
TEOFILO OTONI,MG,1
ARIQUEMES,RO,1
PIRAJU,SP,1
UNIAO DA VITORIA,PR,1
CARATINGA,MG,1
CAXAMBU,MG,1
Fonte: Base de dados SDRJ - Pesquisa: Filme B,Fonte: Base de dados SDRJ - Pesquisa: Filme B,Fonte: Base de dados SDRJ - Pesquisa: Filme B
,Topo da página,© Copyright Filme B. Todos os direitos reservados.
